index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2022/03/24 18:22:57.443, 7.29 W, 76 MHz, 405 MHz, 76 MHz
0, 2022/03/24 18:23:07.456, 9.33 W, 144 MHz, 405 MHz, 144 MHz
0, 2022/03/24 18:23:17.468, 9.28 W, 131 MHz, 405 MHz, 131 MHz
0, 2022/03/24 18:23:27.481, 7.29 W, 105 MHz, 405 MHz, 105 MHz
0, 2022/03/24 18:23:37.493, 7.92 W, 77 MHz, 405 MHz, 77 MHz
0, 2022/03/24 18:23:47.501, 36.03 W, 1645 MHz, 3802 MHz, 1645 MHz
0, 2022/03/24 18:23:57.518, 34.88 W, 1645 MHz, 3802 MHz, 1645 MHz
0, 2022/03/24 18:24:07.526, 124.06 W, 1889 MHz, 3802 MHz, 1889 MHz
0, 2022/03/24 18:24:17.535, 109.01 W, 1884 MHz, 3802 MHz, 1884 MHz
0, 2022/03/24 18:24:27.539, 128.18 W, 1870 MHz, 3802 MHz, 1870 MHz
0, 2022/03/24 18:24:37.545, 125.23 W, 1860 MHz, 3802 MHz, 1860 MHz
0, 2022/03/24 18:24:47.563, 129.48 W, 1857 MHz, 3802 MHz, 1857 MHz
0, 2022/03/24 18:24:57.581, 125.11 W, 1853 MHz, 3802 MHz, 1853 MHz
0, 2022/03/24 18:25:07.599, 101.16 W, 1844 MHz, 3802 MHz, 1844 MHz
0, 2022/03/24 18:25:17.607, 142.77 W, 1847 MHz, 3802 MHz, 1847 MHz
0, 2022/03/24 18:25:27.623, 110.87 W, 1843 MHz, 3802 MHz, 1843 MHz
0, 2022/03/24 18:25:37.630, 142.09 W, 1835 MHz, 3802 MHz, 1835 MHz
0, 2022/03/24 18:25:47.641, 134.57 W, 1833 MHz, 3802 MHz, 1833 MHz
0, 2022/03/24 18:25:57.650, 129.05 W, 1836 MHz, 3802 MHz, 1836 MHz
0, 2022/03/24 18:26:07.657, 132.58 W, 1829 MHz, 3802 MHz, 1829 MHz
0, 2022/03/24 18:26:17.664, 100.00 W, 1826 MHz, 3802 MHz, 1826 MHz
0, 2022/03/24 18:26:27.669, 134.17 W, 1824 MHz, 3802 MHz, 1824 MHz
0, 2022/03/24 18:26:37.701, 126.46 W, 1813 MHz, 3802 MHz, 1813 MHz
0, 2022/03/24 18:26:47.709, 116.14 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:26:57.717, 127.84 W, 1833 MHz, 3802 MHz, 1833 MHz
0, 2022/03/24 18:27:07.726, 144.44 W, 1836 MHz, 3802 MHz, 1836 MHz
0, 2022/03/24 18:27:17.734, 136.23 W, 1819 MHz, 3802 MHz, 1819 MHz
0, 2022/03/24 18:27:27.749, 130.92 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:27:37.757, 136.70 W, 1817 MHz, 3802 MHz, 1817 MHz
0, 2022/03/24 18:27:47.778, 126.69 W, 1836 MHz, 3802 MHz, 1836 MHz
0, 2022/03/24 18:27:57.797, 124.88 W, 1825 MHz, 3802 MHz, 1825 MHz
0, 2022/03/24 18:28:07.814, 133.43 W, 1825 MHz, 3802 MHz, 1825 MHz
0, 2022/03/24 18:28:17.828, 125.17 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:28:27.841, 107.56 W, 1820 MHz, 3802 MHz, 1820 MHz
0, 2022/03/24 18:28:37.856, 87.63 W, 1825 MHz, 3802 MHz, 1825 MHz
0, 2022/03/24 18:28:47.861, 134.59 W, 1824 MHz, 3802 MHz, 1824 MHz
0, 2022/03/24 18:28:57.872, 130.77 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:29:07.881, 133.82 W, 1825 MHz, 3802 MHz, 1825 MHz
0, 2022/03/24 18:29:17.892, 118.01 W, 1830 MHz, 3802 MHz, 1830 MHz
0, 2022/03/24 18:29:27.904, 128.00 W, 1826 MHz, 3802 MHz, 1826 MHz
0, 2022/03/24 18:29:37.912, 59.53 W, 1836 MHz, 3802 MHz, 1836 MHz
0, 2022/03/24 18:29:47.920, 146.17 W, 1819 MHz, 3802 MHz, 1819 MHz
0, 2022/03/24 18:29:57.932, 125.84 W, 1817 MHz, 3802 MHz, 1817 MHz
0, 2022/03/24 18:30:07.936, 132.41 W, 1816 MHz, 3802 MHz, 1816 MHz
0, 2022/03/24 18:30:17.951, 121.69 W, 1811 MHz, 3802 MHz, 1811 MHz
0, 2022/03/24 18:30:27.967, 124.73 W, 1820 MHz, 3802 MHz, 1820 MHz
0, 2022/03/24 18:30:37.975, 133.00 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:30:47.991, 133.52 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:30:58.002, 110.06 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:31:08.020, 126.70 W, 1822 MHz, 3802 MHz, 1822 MHz
0, 2022/03/24 18:31:18.029, 124.62 W, 1820 MHz, 3802 MHz, 1820 MHz
0, 2022/03/24 18:31:28.048, 125.77 W, 1835 MHz, 3802 MHz, 1835 MHz
0, 2022/03/24 18:31:38.053, 118.80 W, 1803 MHz, 3802 MHz, 1803 MHz
0, 2022/03/24 18:31:48.065, 128.16 W, 1836 MHz, 3802 MHz, 1836 MHz
0, 2022/03/24 18:31:58.078, 123.07 W, 1810 MHz, 3802 MHz, 1810 MHz
0, 2022/03/24 18:32:08.083, 126.74 W, 1828 MHz, 3802 MHz, 1828 MHz
0, 2022/03/24 18:32:18.092, 140.56 W, 1825 MHz, 3802 MHz, 1825 MHz
0, 2022/03/24 18:32:28.108, 127.79 W, 1838 MHz, 3802 MHz, 1838 MHz
0, 2022/03/24 18:32:38.127, 122.12 W, 1828 MHz, 3802 MHz, 1828 MHz
0, 2022/03/24 18:32:48.143, 115.56 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:32:58.156, 129.15 W, 1830 MHz, 3802 MHz, 1830 MHz
0, 2022/03/24 18:33:08.159, 120.80 W, 1846 MHz, 3802 MHz, 1846 MHz
0, 2022/03/24 18:33:18.164, 134.00 W, 1822 MHz, 3802 MHz, 1822 MHz
0, 2022/03/24 18:33:28.177, 143.79 W, 1855 MHz, 3802 MHz, 1855 MHz
0, 2022/03/24 18:33:38.188, 132.56 W, 1810 MHz, 3802 MHz, 1810 MHz
0, 2022/03/24 18:33:48.202, 133.70 W, 1830 MHz, 3802 MHz, 1830 MHz
0, 2022/03/24 18:33:58.218, 138.97 W, 1829 MHz, 3802 MHz, 1829 MHz
0, 2022/03/24 18:34:08.233, 127.65 W, 1822 MHz, 3802 MHz, 1822 MHz
0, 2022/03/24 18:34:18.254, 129.28 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:34:28.270, 133.62 W, 1824 MHz, 3802 MHz, 1824 MHz
0, 2022/03/24 18:34:38.288, 132.46 W, 1823 MHz, 3802 MHz, 1823 MHz
