index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2022/03/07 21:05:15.046, 8.94 W, 175 MHz, 405 MHz, 175 MHz
0, 2022/03/07 21:05:16.065, 11.08 W, 185 MHz, 405 MHz, 185 MHz
0, 2022/03/07 21:05:17.084, 14.24 W, 248 MHz, 405 MHz, 248 MHz
0, 2022/03/07 21:05:18.090, 37.46 W, 945 MHz, 3802 MHz, 945 MHz
0, 2022/03/07 21:05:19.100, 34.05 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:20.115, 37.83 W, 1505 MHz, 3802 MHz, 1505 MHz
0, 2022/03/07 21:05:21.134, 38.59 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:22.150, 36.45 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:23.163, 38.27 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:24.180, 38.20 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:25.194, 37.72 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:26.214, 35.77 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:27.222, 37.35 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:28.226, 36.81 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:29.232, 41.26 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:30.242, 37.15 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:31.259, 37.23 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:32.269, 37.64 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:33.276, 36.94 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:34.289, 39.31 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:35.305, 36.11 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:36.323, 40.65 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:37.337, 39.50 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:38.352, 40.19 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:39.372, 36.03 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:40.378, 36.66 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:41.391, 34.91 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:42.402, 40.75 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:43.407, 34.71 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:44.416, 39.94 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:45.427, 35.25 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:46.447, 38.24 W, 1504 MHz, 3802 MHz, 1504 MHz
0, 2022/03/07 21:05:47.460, 39.03 W, 1504 MHz, 3802 MHz, 1504 MHz
