index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2022/03/06 14:31:57.698, 8.65 W, 115 MHz, 405 MHz, 115 MHz
0, 2022/03/06 14:31:58.714, 9.38 W, 170 MHz, 405 MHz, 170 MHz
0, 2022/03/06 14:31:59.727, 9.28 W, 229 MHz, 405 MHz, 229 MHz
0, 2022/03/06 14:32:00.738, 42.51 W, 654 MHz, 3802 MHz, 654 MHz
0, 2022/03/06 14:32:01.748, 44.36 W, 1503 MHz, 3802 MHz, 1503 MHz
0, 2022/03/06 14:32:02.751, 41.76 W, 1503 MHz, 3802 MHz, 1503 MHz
0, 2022/03/06 14:32:03.762, 43.04 W, 1388 MHz, 3802 MHz, 1388 MHz
0, 2022/03/06 14:32:04.775, 38.26 W, 1328 MHz, 3802 MHz, 1328 MHz
0, 2022/03/06 14:32:05.790, 39.13 W, 1326 MHz, 3802 MHz, 1326 MHz
0, 2022/03/06 14:32:06.795, 39.11 W, 1326 MHz, 3802 MHz, 1326 MHz
0, 2022/03/06 14:32:07.811, 40.95 W, 1326 MHz, 3802 MHz, 1326 MHz
0, 2022/03/06 14:32:08.820, 38.10 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:09.827, 40.58 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:10.838, 34.03 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:11.853, 40.48 W, 1328 MHz, 3802 MHz, 1328 MHz
0, 2022/03/06 14:32:12.862, 38.39 W, 1326 MHz, 3802 MHz, 1326 MHz
0, 2022/03/06 14:32:13.872, 41.13 W, 1328 MHz, 3802 MHz, 1328 MHz
0, 2022/03/06 14:32:14.884, 40.65 W, 1328 MHz, 3802 MHz, 1328 MHz
0, 2022/03/06 14:32:15.891, 41.63 W, 1326 MHz, 3802 MHz, 1326 MHz
0, 2022/03/06 14:32:16.903, 40.94 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:17.917, 39.46 W, 1326 MHz, 3802 MHz, 1326 MHz
0, 2022/03/06 14:32:18.931, 41.17 W, 1329 MHz, 3802 MHz, 1329 MHz
0, 2022/03/06 14:32:19.945, 42.62 W, 1329 MHz, 3802 MHz, 1329 MHz
0, 2022/03/06 14:32:20.961, 40.63 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:21.967, 43.29 W, 1328 MHz, 3802 MHz, 1328 MHz
0, 2022/03/06 14:32:22.981, 39.67 W, 1328 MHz, 3802 MHz, 1328 MHz
0, 2022/03/06 14:32:23.999, 41.81 W, 1326 MHz, 3802 MHz, 1326 MHz
0, 2022/03/06 14:32:25.011, 42.77 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:26.016, 39.36 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:27.024, 39.01 W, 1328 MHz, 3802 MHz, 1328 MHz
0, 2022/03/06 14:32:28.030, 39.99 W, 1328 MHz, 3802 MHz, 1328 MHz
0, 2022/03/06 14:32:29.034, 40.09 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:30.047, 36.17 W, 1327 MHz, 3802 MHz, 1327 MHz
0, 2022/03/06 14:32:31.062, 38.34 W, 1329 MHz, 3802 MHz, 1329 MHz
0, 2022/03/06 14:32:32.078, 38.19 W, 1329 MHz, 3802 MHz, 1329 MHz
